#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    6.0000    0.6200    0.4690    0.1510    1.6335    3.6527    8.0688    2.1605   11.8774    4.3292    0.2880    0.8807    0.0169    0.0000    0.0000
    6.0000    0.6600    0.4690    0.1910    1.6509    3.6447    8.0688    2.1384   11.9020    4.3293    0.2880    0.8802    0.0169    0.0000    0.0000
    6.0000    0.7000    0.4690    0.2310    1.6648    3.6405    8.0687    2.1331   11.9175    4.3294    0.2880    0.8806    0.0169    0.0000    0.0000
#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    7.0000    0.4710    0.4690    0.0020    1.1002    4.4099    8.0662    5.6032   10.0964    4.3522    0.2880    0.8787    0.0169    0.0000    0.0000
    7.0000    0.4730    0.4690    0.0040    1.1054    4.3813    8.0664    5.4855   10.1561    4.3499    0.2880    0.8791    0.0169    0.0000    0.0000
    7.0000    0.4750    0.4690    0.0060    1.1108    4.3597    8.0668    5.3955   10.2020    4.3479    0.2880    0.8775    0.0169    0.0000    0.0000
    7.0000    0.4800    0.4690    0.0110    1.1220    4.3183    8.0673    5.2233   10.2904    4.3433    0.2880    0.8766    0.0169    0.0000    0.0000
    7.0000    0.4850    0.4690    0.0160    1.1333    4.2851    8.0678    5.0839   10.3624    4.3393    0.2880    0.8749    0.0169    0.0000    0.0000
    7.0000    0.4900    0.4690    0.0210    1.1478    4.2569    8.0684    4.9606   10.4262    4.3358    0.2880    0.8723    0.0169    0.0000    0.0000
    7.0000    0.4950    0.4690    0.0260    1.1609    4.2305    8.0687    4.8466   10.4855    4.3326    0.2880    0.8723    0.0169    0.0000    0.0000
    7.0000    0.5000    0.4690    0.0310    1.1825    4.2053    8.0691    4.7283   10.5468    4.3299    0.2880    0.8706    0.0169    0.0000    0.0000
    7.0000    0.5100    0.4690    0.0410    1.2667    4.1472    8.0694    4.4206   10.7050    4.3267    0.2880    0.8705    0.0169    0.0000    0.0000
    7.0000    0.5200    0.4690    0.0510    1.3914    4.0564    8.0695    3.9410   10.9490    4.3267    0.2880    0.8705    0.0169    0.0000    0.0000
    7.0000    0.5300    0.4690    0.0610    1.4835    3.9380    8.0694    3.3839   11.2317    4.3274    0.2880    0.8704    0.0169    0.0000    0.0000
    7.0000    0.5400    0.4690    0.0710    1.5374    3.8094    8.0694    2.8234   11.5160    4.3277    0.2880    0.8708    0.0169    0.0000    0.0000
    7.0000    0.5500    0.4690    0.0810    1.5681    3.7189    8.0694    2.4387   11.7123    4.3280    0.2880    0.8699    0.0169    0.0000    0.0000
    7.0000    0.5600    0.4690    0.0910    1.5866    3.6930    8.0694    2.3244   11.7734    4.3278    0.2880    0.8699    0.0169    0.0000    0.0000
    7.0000    0.5800    0.4690    0.1110    1.6086    3.6708    8.0694    2.2288   11.8288    4.3281    0.2880    0.8689    0.0169    0.0000    0.0000
    7.0000    0.6200    0.4690    0.1510    1.6349    3.6527    8.0694    2.1591   11.8782    4.3282    0.2880    0.8693    0.0169    0.0000    0.0000
    7.0000    0.6600    0.4690    0.1910    1.6521    3.6447    8.0694    2.1371   11.9027    4.3281    0.2880    0.8688    0.0169    0.0000    0.0000
    7.0000    0.7000    0.4690    0.2310    1.6659    3.6405    8.0694    2.1319   11.9181    4.3283    0.2880    0.8692    0.0169    0.0000    0.0000
#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    8.0000    0.4710    0.4690    0.0020    1.1027    4.4097    8.0667    5.5999   10.0980    4.3519    0.2880    0.8689    0.0169    0.0000    0.0000
    8.0000    0.4730    0.4690    0.0040    1.1079    4.3810    8.0669    5.4819   10.1579    4.3496    0.2880    0.8693    0.0169    0.0000    0.0000
    8.0000    0.4750    0.4690    0.0060    1.1133    4.3593    8.0673    5.3916   10.2040    4.3476    0.2880    0.8675    0.0169    0.0000    0.0000
    8.0000    0.4800    0.4690    0.0110    1.1246    4.3178    8.0678    5.2187   10.2927    4.3430    0.2880    0.8664    0.0169    0.0000    0.0000
    8.0000    0.4850    0.4690    0.0160    1.1359    4.2845    8.0683    5.0788   10.3649    4.3391    0.2880    0.8645    0.0169    0.0000    0.0000
    8.0000    0.4900    0.4690    0.0210    1.1502    4.2561    8.0689    4.9551   10.4290    4.3355    0.2880    0.8615    0.0169    0.0000    0.0000
    8.0000    0.4950    0.4690    0.0260    1.1630    4.2296    8.0692    4.8410   10.4883    4.3323    0.2880    0.8615    0.0169    0.0000    0.0000
    8.0000    0.5000    0.4690    0.0310    1.1844    4.2043    8.0696    4.7226   10.5496    4.3296    0.2880    0.8594    0.0169    0.0000    0.0000
    8.0000    0.5100    0.4690    0.0410    1.2684    4.1463    8.0700    4.4154   10.7076    4.3264    0.2880    0.8593    0.0169    0.0000    0.0000
    8.0000    0.5200    0.4690    0.0510    1.3936    4.0555    8.0700    3.9354   10.9518    4.3263    0.2880    0.8594    0.0169    0.0000    0.0000
    8.0000    0.5300    0.4690    0.0610    1.4857    3.9375    8.0699    3.3796   11.2339    4.3268    0.2880    0.8595    0.0169    0.0000    0.0000
    8.0000    0.5400    0.4690    0.0710    1.5391    3.8098    8.0700    2.8233   11.5160    4.3270    0.2880    0.8596    0.0169    0.0000    0.0000
    8.0000    0.5500    0.4690    0.0810    1.5698    3.7190    8.0700    2.4375   11.7129    4.3271    0.2880    0.8586    0.0169    0.0000    0.0000
    8.0000    0.5600    0.4690    0.0910    1.5883    3.6930    8.0699    2.3229   11.7741    4.3270    0.2880    0.8588    0.0169    0.0000    0.0000
    8.0000    0.5800    0.4690    0.1110    1.6102    3.6708    8.0701    2.2272   11.8296    4.3271    0.2880    0.8574    0.0169    0.0000    0.0000
    8.0000    0.6200    0.4690    0.1510    1.6362    3.6527    8.0701    2.1576   11.8789    4.3271    0.2880    0.8579    0.0169    0.0000    0.0000
    8.0000    0.6600    0.4690    0.1910    1.6534    3.6447    8.0701    2.1358   11.9034    4.3270    0.2880    0.8573    0.0169    0.0000    0.0000
    8.0000    0.7000    0.4690    0.2310    1.6671    3.6405    8.0700    2.1307   11.9187    4.3271    0.2880    0.8579    0.0169    0.0000    0.0000
#   age       Mtot      Mc        Menv      logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    9.0000    0.4710    0.4690    0.0020    1.1053    4.4095    8.0672    5.5966   10.0997    4.3516    0.2880    0.8590    0.0169    0.0000    0.0000
    9.0000    0.4730    0.4690    0.0040    1.1103    4.3808    8.0674    5.4782   10.1597    4.3493    0.2880    0.8596    0.0169    0.0000    0.0000
    9.0000    0.4750    0.4690    0.0060    1.1158    4.3590    8.0677    5.3877   10.2059    4.3472    0.2880    0.8576    0.0169    0.0000    0.0000
    9.0000    0.4800    0.4690    0.0110    1.1271    4.3173    8.0683    5.2142   10.2950    4.3427    0.2880    0.8562    0.0169    0.0000    0.0000
    9.0000    0.4850    0.4690    0.0160    1.1384    4.2838    8.0688    5.0738   10.3674    4.3388    0.2880    0.8540    0.0169    0.0000    0.0000
    9.0000    0.4900    0.4690    0.0210    1.1526    4.2553    8.0695    4.9496   10.4317    4.3352    0.2880    0.8507    0.0169    0.0000    0.0000
    9.0000    0.4950    0.4690    0.0260    1.1652    4.2288    8.0698    4.8354   10.4911    4.3320    0.2880    0.8508    0.0169    0.0000    0.0000
    9.0000    0.5000    0.4690    0.0310    1.1863    4.2034    8.0702    4.7169   10.5524    4.3293    0.2880    0.8484    0.0169    0.0000    0.0000
    9.0000    0.5100    0.4690    0.0410    1.2699    4.1455    8.0705    4.4105   10.7101    4.3260    0.2880    0.8484    0.0169    0.0000    0.0000
    9.0000    0.5200    0.4690    0.0510    1.3954    4.0549    8.0706    3.9309   10.9540    4.3258    0.2880    0.8485    0.0169    0.0000    0.0000
    9.0000    0.5300    0.4690    0.0610    1.4874    3.9374    8.0705    3.3776   11.2349    4.3262    0.2880    0.8486    0.0169    0.0000    0.0000
    9.0000    0.5400    0.4690    0.0710    1.5403    3.8109    8.0706    2.8268   11.5143    4.3262    0.2880    0.8486    0.0169    0.0000    0.0000
    9.0000    0.5500    0.4690    0.0810    1.5706    3.7198    8.0705    2.4401   11.7116    4.3261    0.2880    0.8476    0.0169    0.0000    0.0000
    9.0000    0.5600    0.4690    0.0910    1.5891    3.6935    8.0705    2.3239   11.7737    4.3260    0.2880    0.8478    0.0169    0.0000    0.0000
