#   age       Mc        Msh       logL      logT      logTc     logg      logR      logrhoc   Y         Yc        Z         FeH       OFe       
    2.0000    0.6600    0.4706    1.6180    3.6524    8.0665    2.2022   11.8701    4.3295    0.2880    0.9279    0.0169    0.0000    0.0000
    2.0000    0.7000    0.4705    1.6317    3.6475    8.0665    2.1944   11.8869    4.3297    0.2880    0.9281    0.0169    0.0000    0.0000
    2.0000    0.9000    0.4695    1.6917    3.6370    8.0663    2.2016   11.9378    4.3331    0.2880    0.9285    0.0169    0.0000    0.0000
    2.0000    0.4670    0.4649    1.0240    4.3782    8.0627    5.5490   10.1216    4.3624    0.2920    0.9097    0.0400    0.3900    0.0000
    2.0000    0.4680    0.4652    1.0260    4.3617    8.0628    5.4819   10.1556    4.3610    0.2920    0.9102    0.0400    0.3900    0.0000
    2.0000    0.4700    0.4657    1.0313    4.3358    8.0630    5.3750   10.2100    4.3589    0.2920    0.9102    0.0400    0.3900    0.0000
    2.0000    0.4750    0.4655    1.0456    4.2885    8.0636    5.1760   10.3118    4.3543    0.2920    0.9094    0.0400    0.3900    0.0000
    2.0000    0.4800    0.4648    1.0586    4.2513    8.0641    5.0190   10.3926    4.3503    0.2920    0.9084    0.0400    0.3900    0.0000
    2.0000    0.4850    0.4649    1.0734    4.2189    8.0644    4.8787   10.4650    4.3468    0.2920    0.9085    0.0400    0.3900    0.0000
    2.0000    0.4900    0.4649    1.0973    4.1884    8.0648    4.7371   10.5380    4.3439    0.2920    0.9081    0.0400    0.3900    0.0000
    2.0000    0.5000    0.4649    1.1930    4.1171    8.0652    4.3653   10.7284    4.3403    0.2920    0.9072    0.0400    0.3900    0.0000
    2.0000    0.5100    0.4649    1.3223    4.0056    8.0652    3.7983   11.0161    4.3405    0.2920    0.9071    0.0400    0.3900    0.0000
    2.0000    0.5200    0.4649    1.4099    3.8607    8.0651    3.1400   11.3494    4.3413    0.2920    0.9070    0.0400    0.3900    0.0000
    2.0000    0.5300    0.4649    1.4566    3.7231    8.0651    2.5510   11.6481    4.3422    0.2920    0.9072    0.0400    0.3900    0.0000
    2.0000    0.5400    0.4649    1.4811    3.6831    8.0650    2.3745   11.7404    4.3423    0.2920    0.9073    0.0400    0.3900    0.0000
    2.0000    0.5600    0.4649    1.5077    3.6538    8.0650    2.2467   11.8122    4.3427    0.2920    0.9073    0.0400    0.3900    0.0000
    2.0000    0.5800    0.4649    1.5246    3.6414    8.0650    2.1955   11.8454    4.3430    0.2920    0.9074    0.0400    0.3900    0.0000
    2.0000    0.6000    0.4649    1.5365    3.6343    8.0650    2.1697   11.8656    4.3431    0.2920    0.9074    0.0400    0.3900    0.0000
    2.0000    0.7000    0.4649    1.5773    3.6182    8.0649    2.1313   11.9184    4.3437    0.2920    0.9074    0.0400    0.3900    0.0000
    2.0000    0.8000    0.4649    1.6041    3.6150    8.0649    2.1500   11.9380    4.3441    0.2920    0.9074    0.0400    0.3900    0.0000
    2.0000    0.4610    0.4587    0.9797    4.3559    8.0613    5.4984   10.1441    4.3739    0.2890    0.8950    0.0600    0.5800    0.0000
    2.0000    0.4630    0.4587    0.9853    4.3252    8.0616    5.3722   10.2081    4.3717    0.2890    0.8951    0.0600    0.5800    0.0000
    2.0000    0.4650    0.4587    0.9897    4.3016    8.0618    5.2749   10.2577    4.3695    0.2890    0.8950    0.0600    0.5800    0.0000
    2.0000    0.4700    0.4596    1.0051    4.2550    8.0623    5.0779   10.3586    4.3647    0.2890    0.8920    0.0600    0.5800    0.0000
    2.0000    0.4750    0.4587    1.0204    4.2166    8.0627    4.9138   10.4429    4.3612    0.2890    0.8946    0.0600    0.5800    0.0000
    2.0000    0.4800    0.4587    1.0416    4.1819    8.0631    4.7579   10.5231    4.3579    0.2890    0.8946    0.0600    0.5800    0.0000
    2.0000    0.4900    0.4587    1.1405    4.1037    8.0636    4.3554   10.7289    4.3538    0.2890    0.8914    0.0600    0.5800    0.0000
    2.0000    0.5000    0.4587    1.2783    3.9796    8.0636    3.7301   11.0459    4.3541    0.2890    0.8911    0.0600    0.5800    0.0000
    2.0000    0.5100    0.4588    1.3644    3.8190    8.0635    3.0101   11.4102    4.3547    0.2890    0.8898    0.0600    0.5800    0.0000
    2.0000    0.5200    0.4588    1.4086    3.7000    8.0635    2.4984   11.6703    4.3552    0.2890    0.8908    0.0600    0.5800    0.0000
    2.0000    0.5400    0.4583    1.4454    3.6515    8.0636    2.2840   11.7856    4.3556    0.2890    0.8906    0.0600    0.5800    0.0000
    2.0000    0.5600    0.4589    1.4648    3.6348    8.0635    2.2135   11.8288    4.3558    0.2890    0.8906    0.0600    0.5800    0.0000
