# log(age) Mini Mact logl logt logg Composition Phase
    6.25    5.93600000   5.9360   3.0500   4.3440   4.5160   0.0000   0.0000
    6.25    6.56200000   6.5620   3.1930   4.3661   4.5040   0.0000   0.0000
    6.25    7.25400000   7.2540   3.3342   4.3877   4.4920   0.0000   0.0000
    6.25    8.01800000   8.0180   3.4720   4.4083   4.4790   0.0000   0.0000
    6.25    8.86400000   8.8640   3.6111   4.4289   4.4660   0.0000   0.0000
    6.25    9.79800000   9.7980   3.7453   4.4486   4.4540   0.0000   0.0000
    6.25   10.83100000  10.8300   3.8796   4.4680   4.4410   0.0000   0.0000
    6.25   11.97200000  11.9700   4.0146   4.4875   4.4270   0.0000   0.0000
    6.25   13.23400000  13.2300   4.1436   4.5052   4.4130   0.0000   0.0000
    6.25   14.62900000  14.6220   4.2732   4.5228   4.3970   0.0000   0.0000
    6.25   16.17100000  16.1630   4.3981   4.5392   4.3820   0.0000   0.0000
    6.25   17.87600000  17.8660   4.5220   4.5551   4.3650   0.0000   0.0000
    6.25   19.76000000  19.7490   4.6468   4.5708   4.3480   0.0000   0.0000
    6.25   21.84300000  21.8250   4.7647   4.5853   4.3320   0.0000   0.0000
    6.25   24.14500000  24.1170   4.8823   4.5994   4.3140   0.0000   0.0000
    6.25   26.69000000  26.6460   4.9952   4.6124   4.2980   0.0000   0.0000
    6.25   29.50400000  29.4350   5.1056   4.6248   4.2810   0.0000   0.0000
    6.25   32.61400000  32.5120   5.2149   4.6365   4.2620   0.0000   0.0000
    6.25   36.05100000  35.9010   5.3178   4.6466   4.2440   0.0000   0.0000
    6.25   39.85100000  39.6380   5.4211   4.6564   4.2240   0.0000   0.0000
    6.25   44.05200000  43.7530   5.5145   4.6637   4.2030   0.0000   0.0000
    6.25   48.69500000  48.2830   5.6076   4.6704   4.1810   0.0000   0.0000
    6.25   53.82800000  53.2680   5.7008   4.6765   4.1560   0.0000   0.0000
    6.25   59.50200000  58.7480   5.7942   4.6820   4.1280   0.0000   0.0000
    6.25   65.77300000  64.7860   5.8785   4.6848   4.1000   0.0000   0.0000
    6.25   72.70600000  71.4160   5.9615   4.6865   4.0670   0.0000   0.0000
    6.25   80.37000000  78.6830   6.0442   4.6868   4.0300   0.0000   0.0000
    6.25   88.84100000  86.6500   6.1252   4.6859   3.9880   0.0000   0.0000
    6.25   98.20600000  95.3910   6.2033   4.6825   3.9390   0.0000   0.0000
    6.25  108.55700000 104.9680   6.2794   4.6808   3.8980   0.0000   0.0000
    6.25  120.00000000 115.4850   6.3525   4.6827   3.8720   0.0000   0.0000
# log(age) Mini Mact logl logt logg Composition Phase
    6.30    0.80000000   0.8000  -0.3001   3.7663   4.6590   0.0000   0.0000
    6.30    0.88400000   0.8840  -0.0959   3.7920   4.6010   0.0000   0.0000
    6.30    0.97800000   0.9780   0.1068   3.8152   4.5350   0.0000   0.0000
    6.30    1.08100000   1.0810   0.3068   3.8411   4.4820   0.0000   0.0000
    6.30    1.19400000   1.1940   0.4791   3.8706   4.4720   0.0000   0.0000
    6.30    1.32000000   1.3200   0.6591   3.9081   4.4850   0.0000   0.0000
    6.30    1.46000000   1.4600   0.8444   3.9499   4.5100   0.0000   0.0000
    6.30    1.61300000   1.6130   1.0234   3.9864   4.5300   0.0000   0.0000
    6.30    1.78300000   1.7830   1.1968   4.0216   4.5620   0.0000   0.0000
    6.30    1.97100000   1.9710   1.3659   4.0572   4.5790   0.0000   0.0000
    6.30    2.17900000   2.1790   1.5304   4.0892   4.5840   0.0000   0.0000
    6.30    2.40900000   2.4090   1.6942   4.1205   4.5880   0.0000   0.0000
    6.30    2.66300000   2.6630   1.8543   4.1493   4.5870   0.0000   0.0000
    6.30    2.94400000   2.9440   2.0123   4.1767   4.5810   0.0000   0.0000
    6.30    3.25400000   3.2540   2.1662   4.2023   4.5730   0.0000   0.0000
    6.30    3.59700000   3.5970   2.3192   4.2275   4.5640   0.0000   0.0000
    6.30    3.97600000   3.9760   2.4722   4.2527   4.5550   0.0000   0.0000
    6.30    4.39500000   4.3950   2.6192   4.2761   4.5450   0.0000   0.0000
    6.30    4.85800000   4.8580   2.7658   4.2993   4.5350   0.0000   0.0000
